Q,A
What are Learning Goals?,"Learning Goals (or Learner Interests) are topics which you are specifically interested in and would like to either become aware of or improve your current competency levels. Based on your choices, the platform will make relevant content recommendations in your Feed. To enable / edit your learning goals: 
1.Click on your name icon in the top banner to the right of the search bar.
2.In the drop-down, click on “Skills Passport”.  
In the page displayed, click the “pencil icon” next to Interests.
Update Your Learning Goals pop-up will be displayed. Here, you can update or remove your learning goals. "
How can I request a refund on FutureSkills Prime?,"The Learner needs to send an email to support@futureskillsprime.in, within 24 hours from the occurrence of the event requiring a refund with a short description of the case. A few questions will be asked to help us understand the scenario. "
How do I know if I am eligible for a refund?,"To understand your eligibility, please visit the refund policy of FutureSkills Prime here. In case of any further queries, the Learner can write to support@futureskillsprime.in"
When will I receive my refund?,"If approved, the refund will be processed within ten (10) calendar days from the date on which the decision to refund is communicated by FutureSkills Prime to the learner."
What will be the mode for my refund?,"If approved, the refund will be made against the original mode of payment used by the Learner while making the purchase on FutureSkills Prime"
Will I get the full refund for my purchase?,"If approved, the refund will be made within ten(10) days in the original mode of payment used by the Learner while making the purchase on FutureSkills Prime. However, where cancellation charges have been levied (as charged by the content partners), learners would not be entitled to a complete refund."
Will I get a refund in case of price changes after my purchase?,FutureSkills Prime reserves the right to change any fees at any time at its sole discretion. There shall be no refunds in the event of a price reduction or promotional offering.
What happens when my refund is approved and the price of the course is changed after the approval?,"If approved, the refund will be made within ten(10) days in the original mode of payment used by the Learner while making the purchase on FutureSkills Prime. However, where cancellation charges have been levied (as charged by the content partners), learners would not be entitled to a complete refund. The refund amount will be on the basis of the amount which was paid by the learner while making the purchase."
Will I get a replacement for my purchase?,FutureSkills Prime does not offer any replacement for any product.
How is the decision taken on the refund request raised by the Learner?,FutureSkills Prime reserves the right and power to approve or deny refund requests after investigating on a case-to-case basis.
What is the meaning of “Duplicate Purchase” mentioned in the Refund policy?,"Duplicate purchase means that the learner has purchased the same product twice. For example, the same course was purchased 2 times by the learner."
Will I get a refund in case I made a duplicate purchase by mistake?,A refund can be requested in case the Learner has purchased the same product twice. The refund request will be considered only if the duplicate product - has not been used by the learner.
Will I get a full refund in case I purchase a product twice and not consume the second product?,"If approved, the entire cost of purchase, including GST, will be refunded to the Learner post deducting the payment gateway charges for the second transaction. If the Learner has consumed the second purchased product, no refund will be processed."
What is the meaning of “Duplicate purchase made by the payment partner”?,"“Duplicate purchase made by the payment partner” means, the payment partner (for example: your bank or PayTM) processes the payment twice for a single purchase. For example, the learner purchases one assessment, yet the payment is done 2 times by their bank."
Will I get a refund in case of payment done 2 times for the same product?,The refund request can be raised in case the payment partner has made the payment for the same product twice. The refund request will be considered only if the duplicate product has not been used by the Learner.
How do I apply for a refund in case of duplicate payment made by the payment partner?,The learner would need to contact their bank that has done the erroneous deduction. This is an auto reversal from the bank. TAT of refund will be as per Learner's bank.
"Will I get a refund in case a product becomes unavailable following a transaction, or technical problems prevent or unreasonably delay delivery of the product?",The refund can be requested in case the product purchased by the Learner is not working due to technical issues or in case there is a delay in delivery of the product due to any other reason from the vendor. The authenticity of any such issue raised by the Learner will be checked by the FutureSkills Prime team and the final decision will be taken on a case-to-case basis.
Will I get a refund in case I purchased the product but am unable to access it due to technical problems or there is an unreasonable delay in the delivery of the product?,"FutureSkills Prime will determine the authenticity of the issue. In this case, the entire cost of purchase including GST will be refunded to the Learner. No payment gateway fee will be charged."
After how many days of purchase can the refund request be raised?,The Learner needs to reach out to the Support team within 3 days from the date of purchase. An email or request raised to the chat Support team by the Learner with a short description of the case will initiate the refund process.
Can I get a refund if I am not interested to continue with the course?,FutureSkills Prime offers courses which cannot be refunded with reasons of disinterest or Learner unable to continue the course (except for technical reasons).
"I requested a refund more than 10 business days ago, but I still do not see it in my bank account. Where is my refund?","If approved, the refund shall be made within ten(10) days from the date on which the decision to refund is communicated by FutureSkills Prime to the Learner. The refund is made to the original mode of payment used by the Learner while making the purchase on FutureSkills Prime. If it has been more than 10 business days since the refund approval is communicated, please contact your bank directly to inquire about the status of the refund. If the bank does not see the refund in their records, please contact FutureSkils Prime Support by writing to support@futureskillsprime.in"
Why was my refund request denied?,"Products purchased on FutureSkills Prime may be eligible for a refund, provided the request meets the guidelines in our Refund policy. Certain restrictions may apply to learn more about our refund policy click here"
What is the Government of India (GoI) Incentive?,"GoI is providing incentives on FutureSkills Prime platform to eligible Indian citizens. The purpose of this incentive is to encourage citizens to upskill themselves. The incentive is provided on course, assessment and competency diagnostic fee. For further details, please refer to General Terms & Conditions."
How to claim the GoI Incentive?,"To claim the GoI Incentive, learners need to follow the 4 steps as below : 
Step 1: Register on the platform
Step 2: Complete eligible courses offered on the platform
Step 3: Get successfully certified in industry approved SSC assessments
Step 4: Apply for Govt. of India Incentive through your learner ledger.
For more details, refer to the General Terms & Conditions"
When can I claim the GoI incentive?,GoI incentive can be claimed immediately after successfully completing a course and getting certified in industry approved SSC assessment.
Where can I claim the GoI incentive?,"A learner can claim for the GoI incentive from the Learner Ledger.
Login > Profile > Learner Ledger"
Is there any time limit to apply for the GoI incentive & does it vary by incentive?,"No time limit, but learners are advised to apply immediately after successfully completing a course and getting certified in industry approved SSC assessment. 
For more details, please refer to the General Terms & Conditions."
In how many days will I receive the GoI incentive?,"The incentive amount will typically be transferred to your account within 30 days of applying for the incentive, subject to accurate information being shared. For more details, please refer to the General Terms & Conditions."
Can the GoI incentive be claimed more than once?,"The maximum incentive an eligible learner can avail is up to INR 12,000/- only. Further there are limits across the following content categories.
Deep Skilling – Subscription Based Pathways
Deep Skilling – Free Pathway
Bridge Courses
Foundation Courses
The learner can also avail only 1 GOI funded ‘Competency Diagnostic’ and 1 assessment on reimbursement basis in each of the 4 categories of courses.
For more details, please refer to the General Terms & Conditions"
Is there any age limit to avail GoI incentive?,All learners who wish to avail GoI incentive need to be 18 years or above.
Who can claim the GoI incentive?,"GoI Incentive can be claimed by all Indian Nationals above 18 years of age. The current programme covers beneficiaries divided in the following broad categories: 
IT employees in IT firms and Non-IT firms
Non-IT employees aspiring to use new and emerging technologies in their respective domains
Further, the programme would also aim to re-skill/ up-skill employees whose skills for a particular job have become outdated and may no longer be employed
Central Govt. & State Govt. Employees including employees of PSUs & Autonomous bodies (Govt. Employees) would also benefit from the platform
Fresh Recruits (who have been offered employment) but are yet to take up a job, as well as undergoing / selected for Internship & Apprenticeship roles in IT/ ITeS are also expected to derive great value from the programme."
On which courses can I receive the GoI Incentive?,The eligible courses have a stamp of “Eligible for GoI Incentive”.
On which Assessments can I receive the GoI Incentive?,All SSC NASSCOM Assessments are eligible for GoI Incentive. The assessment card that carries the SSC NASSCOM logo on top is an SSC NASSCOM Assessment.
"I did not pass the assessment, can I still get GoI incentive for course completions?","No, GoI incentive for courses is available only on successfully passing the assessment"
I have not yet received the GoI incentive. What can I do?,"GoI incentive process can take up to 30 days. For any disbursement related query, the Learner /beneficiary may write an email to helpdesk@fsprimedbt.in"
What is a learner ledger?,"A learner ledger provides the learner a record of all GoI Incentive applications by course, assessment & Competency Diagnostics and the available balance of GoI Incentive at any point of time."
How do I read different sections on the Learner ledger?,"A Learner Ledger is laid out with two sections :
On the top section the available Skills Incentive Balance and entitled amount per category is displayed. The bottom section provides a record of all GoI Incentive applications done by the learner."
"How to distinguish amongst Deepskilling, Bridge & Foundation category courses?","Within a given channel, the courses are categorized under carousels. You will find Foundation courses, under Foundation Courses carousel; Bridge Courses under Bridge courses carousel and Deep Skilling courses under Job Category carousels."
What is the total value of GoI Incentive?,"The maximum incentive an eligible learner can avail is up to a maximum of INR 12,000/- only. Further there are content category wise limits.
Please refer to the General Terms & Conditions for details"
Can I register before completing a course/assessment?,"Yes, a learner can register before completing the course/assessment."
"I made a mistake in sharing details for the Incentives request, what can I do?","Learner may enter his/her details very carefully and must ensure that information entered and documents uploaded are correct. Once submitted, the learner can’t change the information. Only during the verification process, if any document uploaded is found unsatisfactory/incorrect/incomplete, he/she may be asked to upload the correct document.
 
Note: Only 04 chances will be provided to rectify any errors and upload documents during the whole verification process per Direct Benefit Transfer Request. "
I have completed my course but still the apply button has not activated/appeared?,"To activate the apply button, learner must complete the following steps :
Step 1: Register on the platform
Step 2: Complete eligible courses offered on the platform
Step 3: Get successfully certified in industry approved SSC assessments
 
The learner should also remember to abide by the rules mentioned in General Terms & Conditions"
I have passed my assessment but still the apply button has not activated/appeared?,"To activate the apply button, learner must complete the following steps :
Step 1: Register on the platform
Step 2: Complete eligible courses offered on the platform
Step 3: Get successfully certified in industry approved SSC assessments
 
The learner should also remember to abide by the rules mentioned in General Terms & Conditions"
"I completed a DeepSkilling Free pathway, how do I avail GOI Incentive?","Enroll for any paid course (Foundation, Bridge, Deep Skilling Subscription based having course fee more than INR 1000/- ) and claim the incentive of INR 1000/- for Deep Skilling free course through learner ledger.
To avail GoI incentives, kindly follow below steps : 
Step 1: Register on the platform
Step 2: Complete eligible courses offered on the platform
Step 3: Get successfully certified in industry approved SSC assessments
Step 4: Apply For Govt. Of India Incentive through your learner ledger.
The learner should also remember to abide by the rules mentioned in General Terms & Conditions"
Who is a beneficiary?,A learner who upon registering for the GoI incentive meets the defined criteria and becomes eligible for receiving the GoI incentive is a beneficiary.
"Instead of transferring the GoI Incentive in the bank account, can I get the benefit in any other way?","For the Course/Assessment, GoI incentive is available through direct transfer in the bank account of the beneficiary. Also, a beneficiary can potentially avail 1 government funded competency diagnostic.

For more details, please refer to the General Terms & Conditions"
What are the different payment modes?,"You can make payments via Credit Card (AMEX, VISA, Mastercard), Debit Card, NetBanking, UPI and PayTM wallet."
Can I pay the course fee in instalments?,"No, the entire course fee needs to be paid at the time of course purchase."
Can I purchase a course through the Mobile App?,No. Courses can only be purchased through the FutureSkills Prime Website
Are there any additional charges other than course fees and GST?,No. The final charges include only course fees + GST
Where can I see my purchase?,Click the drop down below your name > Click on Content > Refer Purchased section on the left panel
I am unable to access the purchased course while money got deducted from my account,Kindly reach out to a support agent through ‘Talk to a Person’ option displayed below.
Will I get access to hands on project work etc.?,Yes. Most courses have own set of project work/ quizzes to test your skills. Kindly refer to the course outline for more details.
Is there a time limit within which I have to start a course after purchasing it?,"From the date of purchase, you will get 90 days to start the course."
"Is there a duration within which I need to complete a course, after I start it? Where is this information available?","Yes, but this duration varies from course to course. For details, please refer to the respective course on the platform."
How do I change my saved billing information ?,Kindly reach out to a support agent through ‘Talk to a Person’ option displayed below.
Where can I see the details of the course provider?,Each course/pathway displays the course provider’s name.
Can I access courses on any device?,"Yes. You can access the courses on a desktop, laptop, tablet or smartphones. Access on Tablet and Smartphones will be through the Futureskills Prime app available on the Android Play Store as well the Apple App Store. For any mobile-access related questions or queries, please visit our Mobile FAQ section here. "
I have signed in using my social media account. Will it show what I am studying/consuming on my social media profile?,The team behind the FutureSkills Prime platform does not create content. We curate content from the Open web as well as provide access to partner-provided content. You may need to visit sites outside of FutureSkills Prime to access some of this content.
How do I change the language I view the site in?,"At the top right corner of the Home page, in the ‘More’ menu, click the Select a Language dropdown. 
Select the language of your choice from the drop-down list. 
Please note that the language of the site will change, however the learning materials will continue to be displayed in English."
"Will my profile details be captured if I go for social login. Should I be worried about data privacy?
","No, Futureskills Prime does not have access to update your Social Media profile. Hence, your learning progress will not be shown."
Where can I get an overview of all my orders?,You may visit the Marketplace home page to see all the courses that you have bought. Link:https://futureskillsprime.edcastmarketplace.com/hw/app/courseware?page=1&limit=5&tab=learnerMaterials
How do I use the 'Watch later' and 'Share' options shown on YouTube Video player?,You will have to stay logged into YouTube to use these features. Watch later cannot be accessed on FutureSkills Prime platform. It has to be done only on YouTube.
"I am unable to access SmartCards of Medium, HBR and other paid channels?","Medium, HBR and other such content may be accessed through your own subscription. The subscription to such channels does not come with FutureSkills Prime."
How do I resolve the OKTA issue that appears on clicking View More/Enroll?,"To resolve the OKTA issue on mobile app, log-out & log-in again from the mobile app.
To resolve the OKTA issue on mobile/web browser, log-out & log-in again from the mobile/web browser. "
How can i reset my password?,"Click on your name icon in the top banner to the right of the search bar
In the drop-down, click on “Edit Profile”
In the account details Tab, click on the pencil icon next to your first name
Click on set new password and change your password.Note: password should contain at least one capital letter, a number and symbol(#?!@$%^&*-)"
"How can I reset my password, if i forget my password?","When signing into the platform, you can change your password by clicking on the forgot password link."
How can I change my email?,You will not be able to change the email address that you used to sign up.
How can I reset notification options?,"Click on your name icon in the top banner to the right of the search bar
In the drop-down, click Edit Profile
Select the Notifications Tab
In the Notification Tab, you can select the activities for which you want to receive a notification on Web/ Mobile"
How can I add/edit my profile picture?,"Click on your name icon in the top banner to the right of the search bar
In the drop-down, click Edit Profile.
In the page displayed, click the pencil icon (next to your first name)
Scroll to the profile image and either change or remove the image.
Recommended Size for Profile Picture is 120px x 120px"
How can I register a group of learners on the platform?,"Please describe with all relevant information including what group do the learners belong to, how many learners, have they consented to being part of this group, legal information regarding the group and your contact details. We will get back to you."
What are SmartCards?,"SmartCards are short learning nuggets that will help you stay abreast of the latest developments in the technology/skill. They cover a wide range of subtopics within the technology/skill and are available in various formats to address different learning styles - video, blog, article, etc.  The SmartCards have been curated using AI based on taxonomy created in consultation with industry experts, and last mile manual scrutiny. This is done to ensure that you get access to the most relevant knowledge on the topic."
What are Pathways?,"Pathways are short duration structured learning content based on specific learning outcomes. The content for each Pathway is curated in collaboration with industry experts. Going through a Pathway will increase your awareness on the subject.
A typical Pathway would be 30 minutes wherein you can read articles, blogs, watch video or listen to a podcast on the given topic. Once you consume the Pathway, you can take a quiz to test your understanding on the topic and earn a badge. You can share these badges on social media to showcase your ongoing efforts in building your skills."
What is a Skills Passport? How does it benefit me?,Your Skills Passport stores all your badges earned on the FutureSkills Prime Platform. You can also upload certificates that you are awarded via this Program in the Skills Passport. Skills Passport also allows you to share your achievements with your LinkedIn network.
I completed a Pathway but it is not marked as complete,"The Pathway completion bar tracks the percentage completion.
Once all the cards in a pathway are completed, the status bar turns to 100% and the Pathway is marked as complete.
All the cards except the Quiz card have a green tick symbol to depict completion.
Please check that all cards in Pathway have the green tick and you have answered the quiz questions."
What are closed Groups?What are the benefits of being part of a Group?,"Closed Groups consist of learners from the same organisation/university and are visible only to the members of the organisation/university. To get this option for your organisation, please ask your SPOC to contact futureskillsprimesupport@edcast.com."
What is a diagnostics? How do I decide which course is right for me?,"Everyone has different learning requirements. As per your interests, career goals and experience, the interest-based Diagnostics will guide you to learning opportunities available on Futureskills Prime.
The interest-best diagnostic familiarises a learner with the FutureSkills Prime Platform and in identifying & navigating to the content on the basis of interest, capabilities and/or goals."
What is PICASSO?,"We are upgrading to PICASSO - a new user interface that offers a seamless and engaging learner experience with improved discoverability, call to action & gamification features."
Why did we Upgrade to PICASSO?,"To ensure an enhanced & enriched learner experience.
This will provide a focused UI Layout that is simple and pleasant, to keep learners consistently engaged in their upskilling journey. 
PICASSO has been developed keeping in mind the needs of the current generation and has regrouped, updated & standardized several parts of the UI, along with some customization options."
How will the shift to the New UI affect me?,"Compared to the Classic UI, PICASSO administers a more engaging look & feel which will ease your Navigation Journey on FutureSkills Prime. 
For more details refer to: https://learn.futureskillsprime.in/pathways/picasso-ui"
Can you help me learn more about PICASSO?,"Click on the link below to get all your answers related to the New PICASSO UI:
https://learn.futureskillsprime.in/pathways/picasso-ui"
What are closed Groups?,"Closed Groups consist of learners from the same organisation/university and are visible only to the members of the organisation/university. To get this option for your organisation, please ask your SPOC to contact futureskillsprimesupport@edcast.com."
What are the benefits of being part of a Group?,"Closed Groups consist of learners from the same organisation/university and are visible only to the members of the organisation/university. To get this option for your organisation, please ask your SPOC to contact futureskillsprimesupport@edcast.com."
How does Skills passport benefit me?,Your Skills Passport stores all your badges earned on the FutureSkills Prime Platform. You can also upload certificates that you are awarded via this Program in the Skills Passport. Skills Passport also allows you to share your achievements with your LinkedIn network.
Do the courses provide hands-on practical training?,"Practical/hands-on are an integral part of most technology courses. For details related to a specific course, please go to the course smartcard, click “View more” and get more details on our Partner’s course page.

For any further details, please contact VILT Partner."
Does the courses provide hands-on practical training?,"Practical/hands-on are an integral part of most technology courses. For details related to a specific course, please go to the course smartcard, click “View more” and get more details on our Partner’s course page.

For any further details, please contact VILT Partner."
Are the courses fully theoritical?,"Practical/hands-on are an integral part of most technology courses. For details related to a specific course, please go to the course smartcard, click “View more” and get more details on our Partner’s course page.

For any further details, please contact VILT Partner."
"Do the courses offer practical, hands-on training?","Practical/hands-on are an integral part of most technology courses. For details related to a specific course, please go to the course smartcard, click “View more” and get more details on our Partner’s course page.

For any further details, please contact VILT Partner."
Do the courses offer practical training?,"Practical/hands-on are an integral part of most technology courses. For details related to a specific course, please go to the course smartcard, click “View more” and get more details on our Partner’s course page.

For any further details, please contact VILT Partner."
Do the courses provide hands-on training?,"Practical/hands-on are an integral part of most technology courses. For details related to a specific course, please go to the course smartcard, click “View more” and get more details on our Partner’s course page.

For any further details, please contact VILT Partner."
What additional learning resources will be provided apart from the course content?,"Please go to the course smartcard, click “View more” and get more details on our Partner’s course page or contact the VILT partner.
For any further details, please contact VILT Partner."
Is any additional learning resouses provided?,"Please go to the course smartcard, click “View more” and get more details on our Partner’s course page or contact the VILT partner.
For any further details, please contact VILT Partner."
What are the additional learning resouses provided?,"Please go to the course smartcard, click “View more” and get more details on our Partner’s course page or contact the VILT partner.
For any further details, please contact VILT Partner."
What other learning materials besides the course material will be offered?,"Please go to the course smartcard, click “View more” and get more details on our Partner’s course page or contact the VILT partner.
For any further details, please contact VILT Partner."
What other learning resouces will be provided?,"Please go to the course smartcard, click “View more” and get more details on our Partner’s course page or contact the VILT partner.
For any further details, please contact VILT Partner."
List the additional resources provided?,"Please go to the course smartcard, click “View more” and get more details on our Partner’s course page or contact the VILT partner.
For any further details, please contact VILT Partner."
Do I get doubt-clearing sessions with the experts or any other extended support?,"Please go to the course smartcard, click “View more” and get more details on our Partner’s course page or contact the VILT partner.
For any further details, please contact VILT Partner."
Can I get doubt-clearing sessions with the experts or any other extended support?,"Please go to the course smartcard, click “View more” and get more details on our Partner’s course page or contact the VILT partner.
For any further details, please contact VILT Partner."
Do I get doubt-clearing sessions with the experts?,"Please go to the course smartcard, click “View more” and get more details on our Partner’s course page or contact the VILT partner.
For any further details, please contact VILT Partner."
Do I get any other extended support with the experts?,"Please go to the course smartcard, click “View more” and get more details on our Partner’s course page or contact the VILT partner.
For any further details, please contact VILT Partner."
Can we get doubt-clearing sessions with the experts?,"Please go to the course smartcard, click “View more” and get more details on our Partner’s course page or contact the VILT partner.
For any further details, please contact VILT Partner."
Do I get any extra assistance or sessions with experts to clear up my questions?,"Please go to the course smartcard, click “View more” and get more details on our Partner’s course page or contact the VILT partner.
For any further details, please contact VILT Partner."
What is the duration of the class? Is there a weekday/weekend option?,"Please go to the course smartcard, click “View more” and get more details on our Partner’s course page
For any further details, please contact VILT Partner."
What is the duration of the class? ,"Please go to the course smartcard, click “View more” and get more details on our Partner’s course page
For any further details, please contact VILT Partner."
Is there a weekday/weekend option for attending classes?,"Please go to the course smartcard, click “View more” and get more details on our Partner’s course page
For any further details, please contact VILT Partner."
When will be the classes conducted?,"Please go to the course smartcard, click “View more” and get more details on our Partner’s course page
For any further details, please contact VILT Partner."
Is a weekend or weekday option available for attending classes?,"Please go to the course smartcard, click “View more” and get more details on our Partner’s course page
For any further details, please contact VILT Partner."
Is there a prospectus with details regarding the course?,"Please go to the course smartcard, click on “View more” and get more details on our Partner’s course page.
For any further details, please contact VILT Partner. "
Is there a prospectus that contains information about the course?,"Please go to the course smartcard, click on “View more” and get more details on our Partner’s course page.
For any further details, please contact VILT Partner. "
Prospectus containing information about the course?,"Please go to the course smartcard, click on “View more” and get more details on our Partner’s course page.
For any further details, please contact VILT Partner. "
What is the Prospectus containing information about the course?,"Please go to the course smartcard, click on “View more” and get more details on our Partner’s course page.
For any further details, please contact VILT Partner. "
Is there a prospectus available that details the course?,"Please go to the course smartcard, click on “View more” and get more details on our Partner’s course page.
For any further details, please contact VILT Partner. "
Are there any prerequisites for the course?,"Please go to the course smartcard, click on “View more” and get more details on our Partner’s course page
For any further details, please contact VILT Partner."
Is there any prerequisites for the course?,"Please go to the course smartcard, click on “View more” and get more details on our Partner’s course page
For any further details, please contact VILT Partner."
What are the prerequisites for the course?,"Please go to the course smartcard, click on “View more” and get more details on our Partner’s course page
For any further details, please contact VILT Partner."
Prerequisites for the course?,"Please go to the course smartcard, click on “View more” and get more details on our Partner’s course page
For any further details, please contact VILT Partner."
List the prerequisites for the course?,"Please go to the course smartcard, click on “View more” and get more details on our Partner’s course page
For any further details, please contact VILT Partner."
What is the prerequisite for the course?,"Please go to the course smartcard, click on “View more” and get more details on our Partner’s course page
For any further details, please contact VILT Partner."
Do I get any academic credits for the course?,"Please go to the course smartcard, click on “View more” and get more details on our Partner’s course page
For any further details, please contact VILT Partner."
Is this a credit course?,"Please go to the course smartcard, click on “View more” and get more details on our Partner’s course page
For any further details, please contact VILT Partner."
Will I get any academic credits for the course?,"Please go to the course smartcard, click on “View more” and get more details on our Partner’s course page
For any further details, please contact VILT Partner."
Can I get any academic credits for the course?,"Please go to the course smartcard, click on “View more” and get more details on our Partner’s course page
For any further details, please contact VILT Partner."
Are the credit courses?,"Please go to the course smartcard, click on “View more” and get more details on our Partner’s course page
For any further details, please contact VILT Partner."
Does this course count towards my academic credits?,"Please go to the course smartcard, click on “View more” and get more details on our Partner’s course page
For any further details, please contact VILT Partner."
What certificate will I get on successful completion of the course?,"The Industry and government approved courses have a qualification criterion for course completion and certification. The details of the same is mentioned on the partner’s course page.  
Learners will get a co-branded certificate of participation from NASSCOM FutureSkills and Training Partner on completion of the course. "
What certificate will I get on completion of the course?,"The Industry and government approved courses have a qualification criterion for course completion and certification. The details of the same is mentioned on the partner’s course page.  
Learners will get a co-branded certificate of participation from NASSCOM FutureSkills and Training Partner on completion of the course. "
Will I get on completion of the course?,"The Industry and government approved courses have a qualification criterion for course completion and certification. The details of the same is mentioned on the partner’s course page.  
Learners will get a co-branded certificate of participation from NASSCOM FutureSkills and Training Partner on completion of the course. "
What certificate will I get If I complete the course?,"The Industry and government approved courses have a qualification criterion for course completion and certification. The details of the same is mentioned on the partner’s course page.  
Learners will get a co-branded certificate of participation from NASSCOM FutureSkills and Training Partner on completion of the course. "
Who will provide us the certificate?,"The Industry and government approved courses have a qualification criterion for course completion and certification. The details of the same is mentioned on the partner’s course page.  
Learners will get a co-branded certificate of participation from NASSCOM FutureSkills and Training Partner on completion of the course. "
Will certificates will be provided after completing the course?,"The Industry and government approved courses have a qualification criterion for course completion and certification. The details of the same is mentioned on the partner’s course page.  
Learners will get a co-branded certificate of participation from NASSCOM FutureSkills and Training Partner on completion of the course. "
How do I get assessed for SSC NASSCOM Certification?,"You can earn an SSC NASSCOM certification by clearing the assessment for the course you have completed. These assessments, which help you earn an SSC NASSCOM certificate, will be shortly available on the FutureSkills Prime platform. Once available, you will be receiving an email with next steps. "
How do I get assessed to earn SSC NASSCOM Certification?,"You can earn an SSC NASSCOM certification by clearing the assessment for the course you have completed. These assessments, which help you earn an SSC NASSCOM certificate, will be shortly available on the FutureSkills Prime platform. Once available, you will be receiving an email with next steps. "
How do we get assessed for SSC NASSCOM Certification?,"You can earn an SSC NASSCOM certification by clearing the assessment for the course you have completed. These assessments, which help you earn an SSC NASSCOM certificate, will be shortly available on the FutureSkills Prime platform. Once available, you will be receiving an email with next steps. "
How will we be assessed for SSC NASSCOM Certification?,"You can earn an SSC NASSCOM certification by clearing the assessment for the course you have completed. These assessments, which help you earn an SSC NASSCOM certificate, will be shortly available on the FutureSkills Prime platform. Once available, you will be receiving an email with next steps. "
Will I get the hard copy of the certificate/s?,Your SSC NASSCOM certification would only be issued in a soft-copy format. 
Will I get the hard copy of the certificate?,Your SSC NASSCOM certification would only be issued in a soft-copy format. 
Will I get the hard copy of the certificates?,Your SSC NASSCOM certification would only be issued in a soft-copy format. 
Will I get the soft copy of the certificate/s?,Your SSC NASSCOM certification would only be issued in a soft-copy format. 
Will I get the soft copy of the certificate?,Your SSC NASSCOM certification would only be issued in a soft-copy format. 
How will be the certificates issues?,Your SSC NASSCOM certification would only be issued in a soft-copy format. 
Where can I find Virtual instructor led courses on the platform?,Please go to the ‘’Industry and Government approved’’ carousel on the homepage of the platform and click on the channel that you would like to pursue a course in. In the channel check for a course with “Virtual live instructor led training” written on its image.
Where can I find VILT courses on the platform?,Please go to the ‘’Industry and Government approved’’ carousel on the homepage of the platform and click on the channel that you would like to pursue a course in. In the channel check for a course with “Virtual live instructor led training” written on its image.
Where can I find Virtual instructor led courses?,Please go to the ‘’Industry and Government approved’’ carousel on the homepage of the platform and click on the channel that you would like to pursue a course in. In the channel check for a course with “Virtual live instructor led training” written on its image.
Where can I find VILT courses ?,Please go to the ‘’Industry and Government approved’’ carousel on the homepage of the platform and click on the channel that you would like to pursue a course in. In the channel check for a course with “Virtual live instructor led training” written on its image.
Where is the VILT courses?,Please go to the ‘’Industry and Government approved’’ carousel on the homepage of the platform and click on the channel that you would like to pursue a course in. In the channel check for a course with “Virtual live instructor led training” written on its image.
Where are the VILT courses?,Please go to the ‘’Industry and Government approved’’ carousel on the homepage of the platform and click on the channel that you would like to pursue a course in. In the channel check for a course with “Virtual live instructor led training” written on its image.
What is the difference between online courses and virtual live instructor led courses?,"Online courses are self-paced courses. These can be consumed anytime over an internet connected device. Whereas virtual live instructor led courses are live sessions, conducted by a trainer at a specific time."
What is the difference between online courses andlive VILT courses?,"Online courses are self-paced courses. These can be consumed anytime over an internet connected device. Whereas virtual live instructor led courses are live sessions, conducted by a trainer at a specific time."
How does live VILT courses differ from online courses?,"Online courses are self-paced courses. These can be consumed anytime over an internet connected device. Whereas virtual live instructor led courses are live sessions, conducted by a trainer at a specific time."
How does virtual live instructor led courses differ from online courses?,"Online courses are self-paced courses. These can be consumed anytime over an internet connected device. Whereas virtual live instructor led courses are live sessions, conducted by a trainer at a specific time."
Do you have instructor led courses?,"Yes, FutureSkills Prime has Virtual instructor-led courses from some of the best-in-class training providers."
Do futureskills prime provide instructor led courses?,"Yes, FutureSkills Prime has Virtual instructor-led courses from some of the best-in-class training providers."
Are instructor led courses available?,"Yes, FutureSkills Prime has Virtual instructor-led courses from some of the best-in-class training providers."
Is instructor led courses available?,"Yes, FutureSkills Prime has Virtual instructor-led courses from some of the best-in-class training providers."
Will I get a lodging facility in case of classroom training?,"All courses are conducted virtually. You can attendthe classes from your location.
For any further details, please contact VILT Partner."
Can these courses be attended from my location?,"All courses are conducted virtually. You can attendthe classes from your location.
For any further details, please contact VILT Partner."
Are al the courses virtually available?,"All courses are conducted virtually. You can attendthe classes from your location.
For any further details, please contact VILT Partner."
Will I be provided with accomodation in the event of classroom training?,"All courses are conducted virtually. You can attendthe classes from your location.
For any further details, please contact VILT Partner."
Will I get internship opportunities during/post completion of a course?,"For the availability of internship/placement opportunities, please reach out to the partner directly."
Will I get internship opportunities during completion of a course?,"For the availability of internship/placement opportunities, please reach out to the partner directly."
Will I get internship opportunities on post completion of a course?,"For the availability of internship/placement opportunities, please reach out to the partner directly."
Will I get internship opportunities?,"For the availability of internship/placement opportunities, please reach out to the partner directly."
Can I get internship opportunities during/post completion of a course?,"For the availability of internship/placement opportunities, please reach out to the partner directly."
Can I get internship opportunities during completion of a course?,"The partners will have the details about placement opportunities on their respective course page. Please go to the course smartcard, click “View more” and get more details on our Partner’s course page."
Do I get any placement support upon course completion?,"The partners will have the details about placement opportunities on their respective course page. Please go to the course smartcard, click “View more” and get more details on our Partner’s course page."
Will  I get any placement support upon course completion?,"The partners will have the details about placement opportunities on their respective course page. Please go to the course smartcard, click “View more” and get more details on our Partner’s course page."
Can I get any placement support upon course completion?,"The partners will have the details about placement opportunities on their respective course page. Please go to the course smartcard, click “View more” and get more details on our Partner’s course page."
